"isbn","title","author","summary","pages","year","language","publisher","subjects","genres"
"0-141-01190-4","Stupid white men","Moore, Michael","Der Dokumentarfilmer legt eine bitterböse und witzige Abrechnung mit dem Amerika  unter G.W.Bush vor.Teils satirisches, teils realistisches Lesevergnügen. In den  USA ein überwältigender Erfolg, bei uns jetzt (24.01.2003) auf Platz 1 der Bestsellerliste!","281","2002","eng","Penguin Books","Politik; Gesellschaft","Humoristische Darstellung; Humoristische Darstellung"
"0-330-35432-9","Underworld","DeLillo, Don","Porträt der USA und des Kalten Krieges zwischen 1951 und 1992 in Romanform.","827","1998","eng","Picador","Alltag","Fiktionale Darstellung"
"0-375-41212-3","A multitude of sins","Ford, Richard","Erzählungen von fast beiläufigen Vertrauens- und Ehebrüchen ganz normaler amerikanischer Ehepaare.","286","2002","eng","Alfred A. Knopf","Partnerschaft; Treulosigkeit","Anthologie"
"0-452-27959-3","The magician's wife","Moore, Brian","1856 schickt Napoleon III. den berühmten Zauberer Henri Lambert nach Algerien, um die aufsässigen Stämme durch ""Wunder"" von der Überlegenheit des Christentums und des französischen Geistes zu überzeugen.","229","1999","eng","Plume","Magier; Berühmte Persönlichkeit; Mission <Völkerrecht>; Magier; Ehefrau","Fiktionale Darstellung; Fiktionale Darstellung"
"0-689-85223-1","The house of the scorpion","Farmer, Nancy","Der Junge Matteo ist der Klon von Matteo Alacrán, einem großen Drogenbaron. Matteo will nicht glauben, dass er als ""Ersatzteillager"" dienen soll und kann schließlich nur mit Hilfe anderer in letzter Minute entkommen. Ab 14.","380","2004","eng","Simon Pulse","Männliche Jugend; Klon; Entwurzelung <Psychologie>; Zukunft","Jugendbuch"
"0-7472-5515-6","Living history","Clinton, Hillary Rodham","Die frühere First Lady der USA und heutige Senatorin des Staates New York, die neben ihrem Ehemann immer eine eigenständige Rolle in Politik und Gesellschaft beanspruchte, erzählt ihr Leben.","562","2003","eng","Headline","","Autobiografie"
"0-943549-32-9","Lilíth, a metamorphosis","Nick, Dagmar","Die biblische Geschichte vom Paradies in moderner, psychologischer Sicht.","50","1995","eng","Thomas Jefferson University Press","Metamorphose; Paradies","Fiktionale Darstellung"
"1-57467-051-4","Alma Rosé","Newman, Richard","Alma Rosé (1906-1944): Geigerin, Tochter des Konzertmeisters der Wiener Philharmoniker, Nichte Gustav Mahlers, emigrierte mit der jüdischen Familie nach dem ""Anschluss"" Österreichs nach London, gab aber noch Konzerte in den Niederlanden, bis es zu spät für eine Rückkehr nach England war; 1942 floh sie aus Holland, wurde in Dijon verhaftet und 1943 über Drancy ins Frauenlager Auschwitz-Birkenau deportiert, wo sie die fälschlich (F. Fénelon: BA 11/80, BA 3/95) ""Mädchenorchester"" genannte, aber nur aus Frauen gebildete Lagerkapelle leitete, mit der sie vielen Frauen das Leben rettete. Sie selbst starb 1944 an einer Vergiftung. Die Biografie eines kanadischen Musikkritikers basiert auf sorgfältiger Recherche, Auswertung von Interviews, Aufzeichnungen, ausführlich zitierten Briefen, ist sehr gut geschrieben (und übersetzt): Ein sachlich augewogenes Porträt einer großen Künstlerin großer Menschlichkeit. Neben oder anstelle des emotional verfälschten Buches von Fénelon. (2)","407","2000","eng","Amadeus Press","Rosé, Alma; Frauenorchester","Biografie"
"1-84442-153-8","The visual history of Britain","Grant, Reg G.","Englischsprachiges Angebot! Großformatiger, umfangreicher, Bildband, der in Aufmachung und reichhaltiger Illustrierung an die Chronikbände erinnert, zur Geschichte Großbritanniens im 20. Jahrhundert. Von 1900-2006 werden die wichtigsten Ereignisse und Personen der einzelnen Jahre auf ein bis drei Doppelseiten - manchmal gibt es eine Sonderseite wie z.B. zum Bombenanschlag von 2005 in London - präsentiert. Breit empfohlen! V051.","400","2006","eng","Carlton Books","","Zeittafel"
"2-226-12626-0","Monsieur Ibrahim et les fleurs du coran","Schmitt, Éric-Emmanuel","Der kleine Moses gewinnt die Freundschaft des muslimischen Ladenbesitzers Ibrahim, der ihm auf dem Weg zum Erwachsenwerden kluge Ratschläge erteilt; ein Appell für die Verständigung zwischen den Religionen.","84","2003","fre","Michel","Juden; Heranwachsender; Freundschaft; Araber","Fiktionale Darstellung"
